Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
1,Ashleigh Barty,44586,2191.4,2068.5,1993.1,1780.5,2130,2092.3,1986,Barty A.
2,Naomi Osaka,44735,2143.2,2117.8,1666.9,1552.6,2130.5,1905.1,1847.9,Osaka N.
3,Simona Halep,44741,2113.4,1986.1,1983.5,1817.7,2049.8,2048.4,1965.6,Halep S.
4,Aryna Sabalenka,44584,2087.3,1987.4,1824.4,1525.5,2037.4,1955.9,1806.4,Sabalenka A.
5,Iga Swiatek,20,2078.4,1853.4,1960.5,1445.2,1965.9,2019.5,1761.8,Swiatek I.
6,Garbine Muguruza,44769,2038.3,1984,1861.7,1677.7,2011.2,1950,1858,Muguruza G.
7,Petra Kvitova,31.2,2028.5,1916.9,1859.8,1734.0,1972.7,1944.1,1881.2,Kvitova P.
8,Cori Gauff,44609,2017.5,1796.6,1817.6,1641.9,1907.1,1917.6,1829.7,Gauff C.
9,Maria Sakkari,44829,2000.9,1901.7,1787,1513.9,1951.3,1894,1757.4,Sakkari M.
10,Elise Mertens,44737,1994.7,1968.1,1758.4,1543.9,1981.4,1876.5,1769.3,Mertens E.
11,Elina Svitolina,44799,1989.7,1905.2,1842.4,1537.1,1947.4,1916,1763.4,Svitolina E.
12,Barbora Krejcikova,44706,1988.7,1753.5,1850.4,1254.3,1871.1,1919.6,1621.5,Krejcikova B.
13,Victoria Azarenka,31.9,1986.3,1897.1,1677.9,1554.2,1941.7,1832.1,1770.3,Azarenka V.
14,Jennifer Brady,44587,1970.6,1886,1599.7,1498.2,1928.3,1785.1,1734.4,Brady J.
15,Ons Jabeur,44799,1968,1837.6,1695.2,1745.8,1902.8,1831.6,1856.9,Jabeur O.
16,Karolina Pliskova,29.2,1966.9,1851.3,1852.2,1730.8,1909.1,1909.6,1848.9,Pliskova K.
17,Serena Williams,39.7,1964.6,1887.2,1626.1,1595.5,1925.9,1795.4,1780,Williams S.
18,Bianca Andreescu,21,1954.2,1946.7,1549.2,1416.5,1950.5,1751.7,1685.4,Andreescu B.
19,Anett Kontaveit,44676,1948.9,1884.5,1720.5,1500.0,1916.7,1834.7,1724.5,Kontaveit A.
20,Jessica Pegula,44647,1946.3,1874.4,1519.9,1406.6,1910.3,1733.1,1676.5,Pegula J.
21,Veronika Kudermetova,44585,1941.9,1804.7,1789.6,1569.7,1873.3,1865.8,1755.8,Kudermetova V.
22,Kiki Bertens,44710,1933.7,1848.2,1835.5,1666.0,1890.9,1884.6,1799.8,Bertens K.
23,Anastasia Pavlyuchenkova,44833,1921.5,1782.9,1767.6,1452.2,1852.2,1844.6,1686.9,Pavlyuchenkova A.
24,Sofia Kenin,44703,1920.9,1848.9,1650.8,1640.3,1884.9,1785.8,1780.6,Kenin S.
25,Darya Kasatkina,44585,1920.1,1855.6,1668.8,1651.3,1887.8,1794.4,1785.7,Kasatkina D.
26,Madison Keys,44646,1912.8,1853.6,1718.5,1631.6,1883.2,1815.7,1772.2,Keys M.
27,Paula Badosa,44704,1910.5,1572.7,1847.3,1465.9,1741.6,1878.9,1688.2,Badosa P.
28,Belinda Bencic,44644,1893.3,1819.7,1655.7,1716.7,1856.5,1774.5,1805,Bencic B.
29,Ekaterina Alexandrova,44738,1892.9,1799.5,1582,1543.5,1846.2,1737.5,1718.2,Alexandrova E.
30,Karolina Muchova,44797,1888.9,1810.5,1644.1,1462.1,1849.7,1766.5,1675.5,Muchova K.
31,Elena Rybakina,22,1877.8,1783.3,1667.7,1575.0,1830.5,1772.8,1726.4,Rybakina E.
32,Catherine Cartan Bellis,44733,1870,1825.3,1585.4,1527.1,1847.7,1727.7,1698.5,Bellis C.C.
33,Dayana Yastremska,44701,1867.5,1780.3,1723.5,1544.9,1823.9,1795.5,1706.2,Yastremska D.
34,Angelique Kerber,33.4,1864.3,1790.6,1726.1,1788.8,1827.4,1795.2,1826.5,Kerber A.
35,Jelena Ostapenko,24,1855.2,1754.7,1681.6,1680.1,1805,1768.4,1767.7,Ostapenko J.
36,Ludmilla Samsonova,44734,1850.9,1729.8,1440.6,1701.9,1790.4,1645.8,1776.4,Samsonova L.
37,Marta Kostyuk,19,1844.6,1683.7,1695.6,1359.6,1764.1,1770.1,1602.1,Kostyuk M.
38,Sorana Cirstea,31.2,1844.2,1701.8,1664.3,1448.2,1773,1754.3,1646.2,Cirstea S.
39,Johanna Konta,44591,1843.8,1718.8,1633,1687.3,1781.3,1738.4,1765.5,Konta J.
40,Marketa Vondrousova,22,1837.6,1756.3,1724,1290.5,1796.9,1780.8,1564,Vondrousova M.
41,Jil Belen Teichmann,44827,1835.6,1750.8,1689.7,1284.8,1793.2,1762.6,1560.2,Teichmann J.B.
42,Yulia Putintseva,44677,1833.7,1745.3,1649.1,1483.2,1789.5,1741.4,1658.4,Putintseva Y.
43,Sara Sorribes Tormo,44736,1832.9,1782.9,1633.7,1479.3,1807.9,1733.3,1656.1,Tormo S.S.
44,Petra Martic,44681,1828,1700.4,1734.5,1593.8,1764.2,1781.2,1710.9,Martic P.
45,Ann Li,21,1827.3,1810.7,1485.6,1181.6,1819,1656.5,1504.5,Li A.
46,Svetlana Kuznetsova,35.9,1826.2,1763.5,1613.2,1492.6,1794.9,1719.7,1659.4,Kuznetsova S.
47,Tamara Zidansek,44674,1825.6,1502.2,1775.2,1406.0,1663.9,1800.4,1615.8,Zidansek T.
48,Danielle Rose Collins,44708,1825.2,1696.7,1581.6,1468.0,1761,1703.4,1646.6,Collins D.R.
49,Anastasija Sevastova,44592,1820.9,1708.1,1708.6,1609.2,1764.5,1764.8,1715.1,Sevastova A.
50,Vera Zvonareva,36.7,1817.9,1721.9,1607.8,1571.1,1769.9,1712.9,1694.5,Zvonareva V.
51,Kaia Kanepi,36,1816.6,1765.8,1619.8,1467.2,1791.2,1718.2,1641.9,Kanepi K.
52,Amanda Anisimova,44792,1816.4,1753.1,1674.8,1401.4,1784.8,1745.6,1608.9,Anisimova A.
53,Laura Siegemund,33.2,1816,1705.3,1668.2,1375.6,1760.6,1742.1,1595.8,Siegemund L.
54,Ana Konjuh,44704,1809.4,1674.2,1683,1572.9,1741.8,1746.2,1691.2,Konjuh A.
55,Irina Camelia Begu,44803,1803.9,1702.7,1674.2,1347.4,1753.3,1739.1,1575.6,Begu I.C.
56,Shelby Rogers,44770,1802.6,1782.7,1569.8,1405.2,1792.7,1686.2,1603.9,Rogers S.
57,Tsvetana Pironkova,33.8,1802.6,1713.9,1517.8,1612.0,1758.2,1660.2,1707.3,Pironkova T.
58,Caroline Garcia,44769,1801.2,1697.2,1707.7,1635.5,1749.2,1754.4,1718.4,Garcia C.
59,Sloane Stephens,44620,1800.4,1614.9,1770,1583.6,1707.7,1785.2,1692,Stephens S.
60,Katerina Siniakova,44586,1799.8,1615.9,1711.4,1491.6,1707.8,1755.6,1645.7,Siniakova K.
61,Alize Cornet,31.4,1799.6,1694.1,1593,1531.5,1746.9,1696.3,1665.6,Cornet A.
62,Camila Giorgi,44710,1796.4,1698.5,1645.9,1569.3,1747.4,1721.2,1682.8,Giorgi C.
63,Fiona Ferro,44644,1791.1,1567.2,1729.9,1372.0,1679.1,1760.5,1581.5,Ferro F.
64,Qiang Wang,44680,1790.9,1698.4,1610,1449.5,1744.7,1700.4,1620.2,Wang Q.
65,Donna Vekic,25,1785.6,1716.4,1621.4,1587.7,1751,1703.5,1686.6,Vekic D.
66,Ajla Tomljanovic,44589,1785.3,1654.2,1626.7,1547.9,1719.7,1706,1666.6,Tomljanovic A.
67,Venus Williams,41,1782.6,1724.5,1494.1,1553.5,1753.5,1638.4,1668.1,Williams V.
68,Su Wei Hsieh,35.4,1774.4,1744.9,1508.9,1589.3,1759.6,1641.6,1681.8,Hsieh S.W.
69,Katie Boulter,44797,1773.3,1636.5,1391,1534.9,1704.9,1582.1,1654.1,Boulter K.
70,Shuai Zhang,32.4,1772.5,1702.3,1496.7,1572.1,1737.4,1634.6,1672.3,Zhang S.
71,Lesia Tsurenko,32,1771.2,1676.7,1603,1490.5,1723.9,1687.1,1630.9,Tsurenko L.
72,Nadia Podoroska,44644,1769.3,1580.1,1676.7,1318.4,1674.7,1723,1543.9,Podoroska N.
73,Marie Bouzkova,44826,1769.3,1728.8,1359.7,1489.5,1749.1,1564.5,1629.4,Bouzkova M.
74,Kristina Mladenovic,44589,1768.5,1675,1660.8,1570.8,1721.7,1714.6,1669.6,Mladenovic K.
75,Saisai Zheng,44647,1767.9,1678.3,1538,1384.7,1723.1,1652.9,1576.3,Zheng S.
76,Leylah Annie Fernandez,44791,1764.5,1750.2,1438.4,1409.0,1757.3,1601.4,1586.8,Fernandez L.A.
77,Polona Hercog,44681,1759.6,1616.1,1644.8,1518.2,1687.8,1702.2,1638.9,Hercog P.
78,Anastasia Potapova,44612,1758.2,1682.4,1557.9,1513.3,1720.3,1658,1635.7,Potapova A.
79,Rebecca Peterson,44798,1755.3,1680.5,1586.6,1477.3,1717.9,1671,1616.3,Peterson R.
80,Maria Camila Osorio Serrano,44700,1753.7,1435.6,1660.3,1436.7,1594.7,1707,1595.2,Serrano M.C.O.
81,Magda Linette,44649,1753.7,1705.9,1456.7,1457.6,1729.8,1605.2,1605.6,Linette M.
82,Aliaksandra Sasnovich,44619,1750.1,1681.5,1592.1,1374.5,1715.8,1671.1,1562.3,Sasnovich A.
83,Alison Van Uytvanck,44619,1747.9,1682.3,1503.5,1639.3,1715.1,1625.7,1693.6,Uytvanck A.V.
84,Anna Karolina Schmiedlova,44768,1747.6,1579.4,1622.7,1275.1,1663.5,1685.2,1511.4,Schmiedlova A.K.
85,Viktorija Golubic,44770,1747.3,1711.7,1541.8,1440.4,1729.5,1644.5,1593.8,Golubic V.
86,Bernarda Pera,44707,1744.7,1576.8,1674.6,1369.4,1660.7,1709.6,1557,Pera B.
87,Ana Bogdan,44709,1740.9,1608.4,1574.9,1485.5,1674.6,1657.9,1613.2,Bogdan A.
88,Zarina Diyas,44739,1740.4,1724.6,1492,1505.3,1732.5,1616.2,1622.9,Diyas Z.
89,Clara Tauson,44669,1736.3,1730,1529.4,1500.0,1733.2,1632.9,1618.2,Tauson C.
90,Andrea Petkovic,33.8,1732.7,1694.5,1548.1,1433.3,1713.6,1640.4,1583,Petkovic A.
91,Kirsten Flipkens,35.2,1728,1643.1,1491.7,1596.5,1685.6,1609.9,1662.3,Flipkens K.
92,Lauren Davis,44769,1727.4,1617.1,1551.8,1532.0,1672.2,1639.6,1629.7,Davis L.
93,Danka Kovinic,44707,1725.6,1487.4,1637.6,1266.6,1606.5,1681.6,1496.1,Kovinic D.
94,Coco Vandeweghe,44710,1722.8,1594,1601.5,1685.7,1658.4,1662.2,1704.3,Vandeweghe C.
95,Tereza Martincova,44738,1722.2,1657.9,1432.6,1545.0,1690.1,1577.4,1633.6,Martincova T.
96,Jasmine Paolini,44676,1719,1478.6,1666.7,1246.9,1598.8,1692.8,1482.9,Paolini J.
97,Eugenie Bouchard,27,1708.7,1580.3,1693.1,1462.2,1644.5,1700.9,1585.5,Bouchard E.
98,Margarita Gasparyan,44768,1698.1,1675.4,1409,1535.0,1686.7,1553.5,1616.5,Gasparyan M.
99,Heather Watson,44590,1692.2,1609.6,1440.5,1538.0,1650.9,1566.3,1615.1,Watson H.
100,Arantxa Rus,44711,1688.3,1604.9,1529.8,1429.4,1646.6,1609,1558.9,Rus A.
101,Harmony Tan,44765,1687.4,1510.8,1477,-,1599.1,1582.2,1518.7,Tan H.
102,Jule Niemeier,44794,1684.7,1230,1506.5,1432.7,1457.3,1595.6,1558.7,Niemeier J.
103,Clara Burel,44612,1684.1,1481.5,1520.5,-,1582.8,1602.3,1517,Burel C.
104,Monica Niculescu,33.7,1675.5,1552.1,1581.9,1537.5,1613.8,1628.7,1606.5,Niculescu M.
105,Elisabetta Cocciaretto,44640,1670.5,1622.7,1548.7,1500.0,1646.6,1609.6,1585.2,Cocciaretto E.
106,Xiyu Wang,44612,1669.6,1558.6,1523.1,1447.8,1614.1,1596.4,1558.7,Wang X.
107,Patricia Maria Tig,44799,1669.6,1515,1604.9,1130.5,1592.3,1637.2,1400,Tig P.M.
108,Bethanie Mattek Sands,36.1,1669,1589.1,1565,1547.4,1629,1617,1608.2,Sands B.M.
109,Alexandra Dulgheru,32,1667.2,1511,1572.4,1572.3,1589.1,1619.8,1619.8,Dulgheru A.
110,Nina Stojanovic,44828,1664.7,1546.7,1533,1441.1,1605.7,1598.8,1552.9,Stojanovic N.
111,Sara Errani,34.1,1664.2,1596.8,1573.6,1335.8,1630.5,1618.9,1500,Errani S.
112,Anna Kalinskaya,44703,1662.6,1659.6,1446.4,1445.8,1661.1,1554.5,1554.2,Kalinskaya A.
113,Kateryna Kozlova,44647,1662.5,1560.1,1570.9,1381.4,1611.3,1616.7,1521.9,Kozlova K.
114,Madison Brengle,31.2,1660.5,1612.1,1543.3,1407.5,1636.3,1601.9,1534,Brengle M.
115,Misaki Doi,44591,1659.1,1566.5,1476.5,1485.7,1612.8,1567.8,1572.4,Doi M.
116,Kristyna Pliskova,29.2,1655.9,1545.4,1559.6,1539.6,1600.6,1607.7,1597.8,Pliskova K.
117,Varvara Gracheva,44793,1654,1479.9,1580.2,-,1567,1617.1,1502,Gracheva V.
118,Caty Mcnally,44731,1653.5,1538.7,1462.9,1537.1,1596.1,1558.2,1595.3,Mcnally C.
119,Anna Lena Friedsam,44678,1652.5,1566.1,1552.6,1501.9,1609.3,1602.6,1577.2,Friedsam A.L.
120,Kaja Juvan,44732,1652,1638.8,1517.7,1548.9,1645.4,1584.9,1600.5,Juvan K.
121,Varvara Lepchenko,35.1,1651,1529.2,1577.2,1398.8,1590.1,1614.1,1524.9,Lepchenko V.
122,Magdalena Frech,44704,1650.8,1500.3,1536.7,1417.9,1575.6,1593.8,1534.4,Frech M.
123,Claire Liu,44582,1649.3,1383.9,1590.8,1397.4,1516.6,1620.1,1523.4,Liu C.
124,Yaroslava Shvedova,33.7,1645.7,1546.9,1547.9,1582.5,1596.3,1596.8,1614.1,Shvedova Y.
125,Astra Sharma,44798,1645.4,1494.8,1583.5,1248.2,1570.1,1614.5,1446.8,Sharma A.
126,Hailey Baptiste,44731,1643.5,1426,1476.6,1381.8,1534.7,1560.1,1512.6,Baptiste H.
127,Anna Blinkova,44795,1634.4,1553.3,1577.5,1423.7,1593.9,1606,1529.1,Blinkova A.
128,Anhelina Kalinina,44644,1631.9,1527.2,1551.5,1199.6,1579.6,1591.7,1415.7,Kalinina A.
129,Mihaela Buzarnescu,33.1,1631.4,1514.1,1500.1,1490.5,1572.8,1565.7,1560.9,Buzarnescu M.
130,Greetje Minnen,44796,1631.1,1580,1420.3,1511.8,1605.6,1525.7,1571.4,Minnen G.
131,Lin Zhu,44678,1629.7,1573.5,1103.6,1295.1,1601.6,1366.7,1462.4,Zhu L.
132,Christina Mchale,44590,1628.2,1602.8,1493.7,1380.5,1615.5,1561,1504.4,Mchale C.
133,Oceane Dodin,44736,1625.8,1586.9,1475.4,1442.5,1606.3,1550.6,1534.1,Dodin O.
134,Kamilla Rakhimova,44792,1622.5,1484.4,1503.9,1320.4,1553.4,1563.2,1471.5,Rakhimova K.
135,Ivana Jorovic,44585,1621.1,1644.7,1434.6,1246.6,1632.9,1527.8,1433.8,Jorovic I.
136,Nao Hibino,44707,1613.1,1537.8,1442.9,1303.3,1575.4,1528,1458.2,Hibino N.
137,Martina Trevisan,44739,1612.6,1426.6,1539.6,1225.6,1519.6,1576.1,1419.1,Trevisan M.
138,Elena Gabriela Ruse,44735,1610.8,1547,1428.8,1631.6,1578.9,1519.8,1621.2,Ruse E.G.
139,Rebecca Marino,44711,1609.3,1553.4,1319,1386.5,1581.4,1464.1,1497.9,Marino R.
140,Storm Sanders,44799,1608.7,1566.9,1507.4,1337.3,1587.8,1558.1,1473,Sanders S.
141,Irina Maria Bara,44618,1605.7,1261.9,1580.6,1332.3,1433.8,1593.1,1469,Bara I.M.
142,Aleksandra Krunic,44620,1602.3,1479.4,1550.3,1571.3,1540.8,1576.3,1586.8,Krunic A.
143,Mona Barthel,44834,1601.9,1603.8,1480.7,1386.2,1602.9,1541.3,1494.1,Barthel M.
144,Timea Babos,44589,1600,1567.7,1408.2,1395.0,1583.9,1504.1,1497.5,Babos T.
145,Lara Arruabarrena,29.2,1599.2,1457.1,1513.5,1449.8,1528.2,1556.3,1524.5,Arruabarrena L.
146,Stefanie Voegele,44651,1590.7,1532.8,1477.6,1242.1,1561.8,1534.2,1416.4,Voegele S.
147,Katarina Zavatska,44641,1588.5,1463.9,1508,1284.0,1526.2,1548.3,1436.2,Zavatska K.
148,Kateryna Bondarenko,34.8,1585,1585.9,1338.7,1505.6,1585.5,1461.8,1545.3,Bondarenko K.
149,Olga Danilovic,44671,1582.2,1517.7,1508.2,1293.9,1549.9,1545.2,1438.1,Danilovic O.
150,Harriet Dart,44828,1582,1510.3,1444.5,1429.8,1546.1,1513.3,1505.9,Dart H.
151,Kristina Kucova,44592,1580.8,1512.2,1490.5,1230.9,1546.5,1535.7,1405.9,Kucova K.
152,Olga Govortsova,32.8,1577.9,1528.9,1432.2,1514.6,1553.4,1505,1546.3,Govortsova O.
153,Anastasia Gasanova,44583,1574.9,1564.9,1391.3,1281.0,1569.9,1483.1,1427.9,Gasanova A.
154,Viktoriya Tomova,44646,1574.1,1433.6,1527.4,1353.7,1503.8,1550.8,1463.9,Tomova V.
155,Maryna Zanevska,44769,1572,1542.3,1476.1,1283.8,1557.1,1524,1427.9,Zanevska M.
156,Aliona Bolsova,44735,1569.4,1549.5,1427.3,1265.1,1559.4,1498.3,1417.2,Bolsova A.
157,Kurumi Nara,44710,1565,1514,1445.4,1359.5,1539.5,1505.2,1462.2,Nara K.
158,Viktoria Kuzmova,44584,1562.7,1528.6,1503.7,1322.8,1545.6,1533.2,1442.7,Kuzmova V.
159,Barbara Haas,44617,1562.4,1443.1,1493.4,1426.7,1502.8,1527.9,1494.6,Haas B.
160,Katie Volynets,44700,1562,1310.6,1572.9,1272.1,1436.3,1567.5,1417,Volynets K.
161,Natalia Vikhlyantseva,44644,1556.8,1485.9,1502.8,1460.5,1521.4,1529.8,1508.6,Vikhlyantseva N.
162,Mayar Sherif,44586,1554.1,1425.8,1510.9,1500.0,1490,1532.5,1527.1,Sherif M.
163,Ysaline Bonaventure,44799,1550,1548.5,1335.2,1505.1,1549.3,1442.6,1527.6,Bonaventure Y.
164,Sachia Vickery,44587,1546.6,1536.8,1319,1356.2,1541.7,1432.8,1451.4,Vickery S.
165,Renata Zarazua,44765,1544.7,1475.2,1445.7,1316.0,1510,1495.2,1430.4,Zarazua R.
166,Yafan Wang,44588,1543.5,1548.3,1216.5,1424.4,1545.9,1380,1484,Wang Y.
167,Jaqueline Adina Cristian,23,1536.1,1532.1,1382.5,1255.7,1534.1,1459.3,1395.9,Cristian J.A.
168,Xin Yu Wang,44761,1535.2,1483.1,1306.1,1426.3,1509.2,1420.6,1480.7,Wang X.Y.
169,En Shuo Liang,44762,1532.3,1468.2,1331.3,1344.1,1500.2,1431.8,1438.2,Liang E.S.
170,Tamara Korpatsch,44587,1532,1347.9,1519.7,1264.4,1440,1525.9,1398.2,Korpatsch T.
171,Maddison Inglis,44674,1527.4,1540.2,1178.1,1204.2,1533.8,1352.8,1365.8,Inglis M.
172,Jessica Pieri,44585,1524.9,1245.3,1433.7,1344.5,1385.1,1479.3,1434.7,Pieri J.
173,Veronica Cepede Royg,44680,1522.2,1447.4,1480.6,1362.1,1484.8,1501.4,1442.1,Royg V.C.
174,Cristina Bucsa,44674,1514.3,1403.7,1395.4,1350.7,1459,1454.9,1432.5,Bucsa C.
175,Giulia Gatto Monticone,33.6,1512.9,1476.5,1394.5,1459.6,1494.7,1453.7,1486.3,Monticone G.G.
176,Cagla Buyukakcay,44773,1509.4,1398.7,1470.3,1104.8,1454,1489.9,1307.1,Buyukakcay C.
177,Rebecca Sramkova,44766,1507.9,1424.3,1410.1,1399.3,1466.1,1459,1453.6,Sramkova R.
178,Grace Min,44588,1507,1430.7,1431,1328.1,1468.9,1469,1417.5,Min G.
179,Ekaterine Gorgodze,44710,1506.8,1263,1453.1,1480.6,1384.9,1480,1493.7,Gorgodze E.
180,Georgina Garcia Perez,44590,1501.3,1389.5,1436.3,1359.6,1445.4,1468.8,1430.4,Perez G.G.
181,Lizette Cabrera,44704,1500.8,1430.1,1175.8,1314.8,1465.4,1338.3,1407.8,Cabrera L.
182,Kristie Ahn,29,1497.9,1537.7,1249.6,1415.2,1517.8,1373.7,1456.6,Ahn K.
183,Arina Rodionova,44712,1492.1,1439.6,1128.6,1512.9,1465.8,1310.3,1502.5,Rodionova A.
184,Caroline Dolehide,44795,1487.9,1475.2,1317.8,1318.5,1481.5,1402.8,1403.2,Dolehide C.
185,Francesca Di Lorenzo,44827,1487.3,1370.5,1421.7,1310.9,1428.9,1454.5,1399.1,Lorenzo F.D.
186,Tereza Mrdeza,44742,1487.1,1286.7,1421.2,1174.6,1386.9,1454.1,1330.8,Mrdeza T.
187,Alycia Parks,44671,1486.9,1281.4,1362.9,-,1384.2,1424.9,1418.5,Parks A.
188,Dalma Galfi,44795,1486.7,1494.6,1323.4,1290.2,1490.6,1405,1388.4,Galfi D.
189,Reka Luca Jani,44833,1480,1232.2,1429.1,1236.9,1356.1,1454.5,1358.4,Jani R.L.
190,Julia Grabher,25,1477.4,1169.3,1437.3,-,1323.3,1457.3,1413.7,Grabher J.
191,Asia Muhammed,30.2,1476.3,1389.4,1299.8,1335.8,1432.8,1388.1,1406.1,Muhammed A.
192,Anna Bondar,24,1473.3,1376.9,1388.8,1439.0,1425.1,1431,1456.1,Bondar A.
193,Daniela Seguel,44709,1469.8,1400.4,1364.9,1308.8,1435.1,1417.4,1389.3,Seguel D.
194,Ellen Perez,44767,1467.6,1354.4,1316.7,1233.8,1411,1392.1,1350.7,Perez E.
195,Lesley Kerkhove,44741,1465.6,1414.2,1230.8,1319.5,1439.9,1348.2,1392.5,Kerkhove L.
196,Mayo Hibi,44617,1463.2,1390,1205.4,1316.8,1426.6,1334.3,1390,Hibi M.
197,Jana Fett,44736,1461.5,1352.7,1344,1407.3,1407.1,1402.7,1434.4,Fett J.
198,Usue Maitane Arconada,44734,1456,1456.4,1197,-,1456.2,1326.5,1403,Arconada U.M.
199,Francesca Jones,44762,1450.5,1468.4,1305.5,1168.8,1459.5,1378,1309.6,Jones F.
200,Robin Anderson,44589,1446.1,1440.3,1199.8,1322.0,1443.2,1323,1384,Anderson R.
201,Lucia Bronzetti,44673,1441.2,1230,1354.4,-,1335.6,1397.8,1395.6,Bronzetti L.
202,Gabriela Talaba,44798,1440.8,1346.9,1320.3,-,1393.9,1380.5,1395.4,Talaba G.
203,Jamie Loeb,44618,1439.4,1440.5,1274.9,1287.6,1439.9,1357.2,1363.5,Loeb J.
204,Mariam Bolkvadze,44674,1437.4,1526.4,1225.1,1154.5,1481.9,1331.2,1295.9,Bolkvadze M.
205,Katarzyna Kawa,44740,1431.6,1254.7,1444.1,1354.3,1343.2,1437.9,1393,Kawa K.
206,Bianca Turati,44827,1427.1,1379.6,1293.4,-,1403.4,1360.2,1388.5,Turati B.
207,Ankita Raina,44679,1420.3,1380.7,1244.5,1146.4,1400.5,1332.4,1283.4,Raina A.
208,Isabella Shinikova,44741,1419.9,1455.2,1200.8,1205.3,1437.5,1310.4,1312.6,Shinikova I.
209,Eva Guerrero Alvarez,44763,1411.4,1171.9,1332.6,-,1291.7,1372,1380.7,Alvarez E.G.
210,Amandine Hesse,44648,1408.4,1371.9,1269.2,1285.1,1390.2,1338.8,1346.8,Hesse A.
211,Marina Melnikova,32.4,1405.9,1236.3,1346.5,1381.3,1321.1,1376.2,1393.6,Melnikova M.
212,Martina Di Giuseppe,44650,1404.7,1153.4,1359.7,1292.2,1279,1382.2,1348.5,Giuseppe M.D.
213,Irene Burillo Escorihuela,44827,1401.2,1432.9,1242.9,-,1417,1322,1375.6,Escorihuela I.B.
214,Marie Benoit,44618,1398,1216.2,1348,-,1307.1,1373,1374,Benoit M.
215,Nuria Parrizas Diaz,44833,1394.3,1166,1362.5,-,1280.1,1378.4,1372.1,Diaz N.P.
216,Chloe Paquet,44830,1388.4,1293,1278.5,1300.8,1340.7,1333.5,1344.6,Paquet C.
217,Valeria Savinykh,44650,1384.5,1362.2,1213,1323.3,1373.3,1298.7,1353.9,Savinykh V.
218,Natalija Kostic,44830,1383.5,1342.7,1274.2,-,1363.1,1328.9,1366.7,Kostic N.
219,Ulrikke Eikeri,44679,1365.4,1302.1,1285.7,1500.0,1333.7,1325.5,1432.7,Eikeri U.
220,Leonie Kung,44732,1362.4,1519,1126.1,1362.8,1440.7,1244.2,1362.6,Kung L.
221,Laura Ioana Andrei,33,1359.6,1311.4,1296.7,-,1335.5,1328.2,1354.8,Andrei L.I.
222,Despina Papamichail,44648,1349.8,1245,1353.7,1271.2,1297.4,1351.8,1310.5,Papamichail D.
223,Whitney Osuigwe,44611,1349.5,1402.1,1268.9,1200.5,1375.8,1309.2,1275,Osuigwe W.
224,Tessah Andrianjafitrimo,44734,1348.8,1237,1259,-,1292.9,1303.9,1349.4,Andrianjafitrimo T.
225,Yuki Naito,44640,1336.7,1242.2,1179,-,1289.5,1257.9,1343.4,Naito Y.
226,Pemra Ozgen,35.1,1326.9,1239.3,1232.6,1449.9,1283.1,1279.8,1388.4,Ozgen P.
227,Diane Parry,44760,1306.1,1161.8,1253.4,-,1233.9,1279.8,1328,Parry D.
228,Katharina Gerlach,44643,1301.8,1129.5,1232.9,-,1215.7,1267.4,1325.9,Gerlach K.
