ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Basilashvili N.,Rosol L.,26,280,1473,181,6,7,7,6,3,6,6,3,6,3,3,2,Completed,1.3,3.5,1.33,3.69,1.35,3.75,1.3,3.51
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Halys Q.,Paire B.,82,73,687,771,4,6,6,1,6,2,6,4,,,3,1,Completed,1.36,3.2,1.37,3.41,1.41,3.65,1.34,3.25
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Humbert U.,Etcheverry T.,112,77,521,750,6,3,3,6,4,6,6,3,6,4,3,2,Completed,1.11,6.5,1.16,6.17,1.16,6.65,1.13,5.95
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Ruud C.,Ramos-Vinolas A.,6,39,5050,1080,7,6,7,6,6,2,,,,,3,0,Completed,1.2,4.5,1.19,5.39,1.27,6.1,1.19,4.78
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Marterer M.,Bedene A.,172,200,319,283,4,6,7,5,6,4,7,5,,,3,1,Completed,2.1,1.72,2.04,1.87,2.13,1.93,2.02,1.8
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Norrie C.,Andujar P.,12,100,3200,576,6,0,7,6,6,3,,,,,3,0,Completed,1.02,17,1.02,20.54,1.05,24,1.02,15.57
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Munar J.,Monteiro T.,71,89,780,643,6,2,6,4,7,5,,,,,3,0,Completed,2.3,1.61,2.33,1.68,2.4,1.68,2.28,1.63
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Davidovich Fokina A.,Hurkacz H.,37,10,1120,3735,7,6,6,4,5,7,2,6,7,6,3,2,Completed,5.5,1.14,7.06,1.13,7.66,1.18,6.28,1.12
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Mannarino A.,Purcell M.,86,209,665,272,6,3,7,6,4,6,4,6,6,4,3,2,Completed,1.28,3.75,1.32,3.75,1.32,3.9,1.3,3.58
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Paul T.,Verdasco F.,32,115,1208,517,6,1,6,2,7,6,,,,,3,0,Completed,1.14,5.5,1.22,4.86,1.22,5.75,1.19,4.82
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Vavassori A.,28,256,1439,205,6,4,6,4,6,4,,,,,3,0,Completed,1.11,6.5,1.12,7.64,1.14,8.2,1.1,7
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Kwon S.W.,3,81,6770,698,6,3,3,6,6,3,6,4,,,3,1,Completed,1.005,34,1.01,31.88,1.01,34.22,1.01,22.46
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Isner J.,Couacaud E.,24,206,1616,276,6,7,7,6,4,6,6,3,7,5,3,2,Completed,1.16,5,1.24,4.64,1.24,5,1.21,4.41
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kokkinakis T.,Majchrzak K.,79,91,728,635,7,6,6,2,7,5,,,,,3,0,Completed,2.1,1.72,2.17,1.78,2.17,1.83,2.09,1.75
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Alcaraz C.,Struff J.L.,7,155,4890,363,4,6,7,5,4,6,7,6,6,4,3,2,Completed,1.25,4,1.26,4.32,1.28,4.45,1.25,3.99
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tabilo A.,Djere L.,78,57,746,946,7,6,6,2,1,6,4,6,7,6,3,2,Completed,2.62,1.5,2.68,1.53,3,1.53,2.72,1.47
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Vesely J.,Coria F.,68,67,829,840,6,3,6,2,7,6,,,,,3,0,Completed,1.05,11,1.09,9.72,1.09,12.72,1.07,8.88
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Van Rijthoven T.,Delbonis F.,104,84,546,679,7,6,6,1,6,2,,,,,3,0,Completed,1.12,6,1.13,7.13,1.14,7.75,1.11,6.61
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sinner J.,Wawrinka S.,13,267,3185,191,7,5,4,6,6,3,6,2,,,3,1,Completed,1.33,3.4,1.33,3.65,1.35,3.65,1.31,3.43
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kecmanovic M.,Millman J.,30,85,1306,676,6,3,2,6,6,3,6,4,,,3,1,Completed,1.44,2.75,1.42,3.11,1.46,3.13,1.4,2.93
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Lajovic D.,Carreno Busta P.,64,20,883,1930,3,6,6,4,,,,,,,1,1,Retired,3.4,1.33,4,1.29,4.13,1.33,3.71,1.28
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Griekspoor T.,Fognini F.,53,63,984,896,5,7,7,5,6,3,6,4,,,3,1,Completed,1.36,3.2,1.36,3.47,1.38,3.5,1.34,3.26
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Murray A.,Duckworth J.,52,74,995,766,4,6,6,3,6,2,6,4,,,3,1,Completed,1.16,5,1.16,6.22,1.18,6.7,1.16,5.37
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bublik A.,Fucsovics M.,38,59,1105,922,6,1,6,2,6,4,,,,,3,0,Completed,1.57,2.37,1.56,2.61,1.6,2.66,1.53,2.5
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Otte O.,Gojowczyk P.,36,92,1155,630,6,1,6,2,6,1,,,,,3,0,Completed,1.14,5.5,1.16,6.3,1.16,7,1.13,5.87
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Peniston R.,Laaksonen H.,135,96,440,606,6,4,6,3,6,2,,,,,3,0,Completed,1.2,4.5,1.21,5.11,1.29,5.25,1.2,4.53
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Grenier H.,Huesler M.A.,141,105,424,546,6,3,7,6,6,7,2,6,6,4,3,2,Completed,2.37,1.57,2.6,1.56,2.63,1.58,2.48,1.54
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Goffin D.,Albot R.,58,113,930,521,6,2,6,2,7,6,,,,,3,0,Completed,1.5,2.62,1.54,2.67,1.6,2.72,1.53,2.52
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Baez S.,Daniel T.,35,118,1168,504,6,4,6,4,7,5,,,,,3,0,Completed,1.9,1.9,1.87,2.04,1.92,2.1,1.85,1.96
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Johnson S.,Dimitrov G.,93,21,627,1785,4,6,5,2,,,,,,,0,1,Retired,4.5,1.2,4.97,1.22,5.06,1.24,4.64,1.19
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Sousa J.,69,60,817,918,7,6,6,2,4,6,4,6,6,3,3,2,Completed,1.5,2.62,1.49,2.84,1.55,2.85,1.48,2.68
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Opelka R.,Taberner C.,18,98,2100,585,7,6,6,4,6,4,,,,,3,0,Completed,1.16,5,1.15,6.41,1.16,6.41,1.14,5.84
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kyrgios N.,Jubb P.,40,219,1070,256,3,6,6,1,7,5,6,7,7,5,3,2,Completed,1.07,9,1.11,8.16,1.11,9.7,1.08,8.01
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Molcan A.,Martinez P.,51,50,1006,1010,4,6,6,4,6,4,6,1,,,3,1,Completed,1.44,2.75,1.5,2.8,1.5,3.1,1.45,2.77
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Ymer M.,Altmaier D.,88,61,653,904,6,3,7,5,7,5,,,,,3,0,Completed,1.9,1.9,1.89,2.02,1.91,2.05,1.85,1.96
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,De Minaur A.,Dellien H.,27,80,1473,704,6,1,6,3,7,5,,,,,3,0,Completed,1.03,15,1.04,15.53,1.05,18,1.03,12.82
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Brooksby J.,Kukushkin M.,34,164,1187,334,6,3,6,2,6,3,,,,,3,0,Completed,1.4,3,1.49,2.83,1.51,3.1,1.43,2.83
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Berankis R.,Querrey S.,106,157,545,352,6,4,7,5,6,3,,,,,3,0,Completed,4,1.25,4.88,1.22,4.88,1.26,4.33,1.22
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Harrison C.,Clarke J.,251,156,210,361,7,6,6,1,7,6,,,,,3,0,Completed,1.72,2.1,1.71,2.27,1.78,2.27,1.7,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bonzi B.,Kolar Z.,47,119,1026,503,6,3,6,3,6,1,,,,,3,0,Completed,1.1,7,1.08,10.08,1.13,10.08,1.1,7.38
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Garin C.,Ymer E.,43,137,1055,439,6,3,7,5,6,4,,,,,3,0,Completed,1.53,2.5,1.52,2.71,1.59,2.71,1.52,2.52
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gaston H.,Popyrin A.,66,83,863,682,6,2,4,6,0,6,7,6,6,3,3,2,Completed,2.5,1.53,2.86,1.48,2.88,1.59,2.52,1.53
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sock J.,Zapata Miralles B.,103,90,557,639,7,6,6,4,6,4,,,,,3,0,Completed,1.33,3.4,1.37,3.39,1.37,3.6,1.33,3.3
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Mcdonald M.,Borges N.,55,123,971,493,6,4,6,4,7,6,,,,,3,0,Completed,1.33,3.4,1.34,3.58,1.35,3.95,1.31,3.5
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Giron M.,Rune H.,65,29,866,1420,6,3,7,5,6,4,,,,,3,0,Completed,1.72,2.1,1.7,2.29,1.78,2.29,1.71,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Kudla D.,54,75,980,763,6,7,6,3,7,5,4,6,6,2,3,2,Completed,1.9,1.9,1.98,1.93,2,2.1,1.89,1.91
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Krajinovic F.,Lehecka J.,31,72,1300,776,5,7,6,4,6,7,7,6,6,4,3,2,Completed,1.36,3.2,1.38,3.34,1.39,3.75,1.34,3.25
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Draper J.,Bergs Z.,94,146,627,403,6,4,6,4,7,6,,,,,3,0,Completed,1.33,3.4,1.35,3.52,1.37,3.84,1.33,3.34
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Cerundolo F.,4,41,6525,1070,6,4,6,3,3,6,6,4,,,3,1,Completed,1.04,13,1.03,18.32,1.04,21,1.03,14.7
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Thompson J.,Carballes Baena R.,76,87,750,663,6,4,6,1,6,1,,,,,3,0,Completed,1.08,8,1.07,10.85,1.08,10.85,1.07,8.68
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Cressy M.,Auger-Aliassime F.,45,9,1047,3760,6,7,6,4,7,6,7,6,,,3,1,Completed,3.5,1.3,3.81,1.31,3.81,1.38,3.52,1.31
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Van De Zandschulp B.,Lopez F.,25,240,1518,222,6,2,6,3,6,3,,,,,3,0,Completed,1.2,4.5,1.2,5.23,1.21,5.5,1.19,4.77
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Ruusuvuori E.,Nishioka Y.,49,101,1015,574,6,2,6,2,4,6,6,4,,,3,1,Completed,1.14,5.5,1.15,6.37,1.16,6.5,1.14,5.75
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gray A.,Tseng C.H.,288,95,173,626,6,3,6,3,7,6,,,,,3,0,Completed,2.2,1.66,2.36,1.67,2.4,1.7,2.26,1.64
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Schwartzman D.,Kozlov S.,15,107,2325,543,6,3,6,2,6,2,,,,,3,0,Completed,1.2,4.5,1.25,4.45,1.25,5.5,1.2,4.55
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Kuhn N.,56,261,969,200,6,3,6,7,6,3,6,2,,,3,1,Completed,1.08,8,1.07,11.63,1.11,11.63,1.06,9.51
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Shapovalov D.,Rinderknech A.,16,62,2293,901,6,1,6,7,6,7,6,4,6,1,3,2,Completed,1.36,3.2,1.36,3.47,1.44,3.47,1.36,3.14
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Broady L.,Klein L.,132,243,444,217,4,6,6,3,7,5,6,7,6,3,3,2,Completed,1.66,2.2,1.75,2.21,1.76,2.28,1.7,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tsitsipas S.,Ritschard A.,5,188,5150,295,7,6,6,3,5,7,6,4,,,3,1,Completed,1.05,11,1.03,17.64,1.05,18,1.03,13.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Galan D.E.,Koepfer D.,109,117,528,505,6,4,7,5,7,6,,,,,3,0,Completed,2.37,1.57,2.36,1.67,2.45,1.74,2.3,1.62
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bautista Agut R.,Balazs A.,19,331,2008,136,6,1,6,0,6,3,,,,,3,0,Completed,1.02,19,1.04,16.46,1.04,20,1.02,14.85
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Novak D.,Bagnis F.,153,102,371,558,7,6,2,6,6,4,6,3,,,3,1,Completed,1.2,4.5,1.18,5.74,1.22,5.75,1.17,5.12
