WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Hercog P.,Kuzmova V.,60,47,989,1185,4,6,7,6,7,5,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.63,1.53,2.52
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Bouzkova M.,Barthel M.,115,96,547,659,6,3,6,3,,,2,0,Completed,1.66,2.2,1.6,2.47,1.75,2.47,1.68,2.2
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Gasparyan M.,Friedsam A.L.,62,286,929,172,6,4,6,4,,,2,0,Completed,1.8,2,1.85,2.04,1.89,2.11,1.8,2.02
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kenin S.,Sharma A.,28,93,1895,671,6,4,6,2,,,2,0,Completed,1.12,6,1.13,6.86,1.18,6.86,1.14,5.69
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Keys M.,Kumkhum L.,16,107,2615,580,6,3,6,2,,,2,0,Completed,1.06,10,1.07,10.7,1.09,11.25,1.06,9.13
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Watson H.,Mcnally C.,122,165,531,363,7,6,6,2,,,2,0,Completed,2.75,1.44,2.81,1.49,3,1.54,2.67,1.48
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Sakkari M.,Pera B.,32,90,1670,689,7,6,6,3,,,2,0,Completed,1.3,3.5,1.35,3.44,1.37,3.56,1.33,3.3
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Svitolina E.,Gavrilova D.,8,74,3868,791,7,5,6,0,,,2,0,Completed,1.3,3.5,1.31,3.78,1.33,3.78,1.3,3.55
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Yastremska D.,Giorgi C.,35,42,1504,1303,6,3,6,3,,,2,0,Completed,1.5,2.62,1.53,2.66,1.54,2.72,1.5,2.59
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Martic P.,Brady J.,24,67,2105,838,3,6,6,3,6,4,2,1,Completed,1.44,2.75,1.47,2.86,1.49,3,1.44,2.79
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kontaveit A.,Rogers S.,20,298,2335,164,6,0,3,6,6,4,2,1,Completed,1.4,3,1.39,3.23,1.44,3.29,1.39,2.99
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Puig M.,Schmiedlova A.,52,87,1113,700,5,7,6,4,7,5,2,1,Completed,1.22,4.33,1.25,4.4,1.27,4.5,1.23,4.18
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Pliskova Ka.,Zhu L.,3,101,6055,607,6,2,7,6,,,2,0,Completed,1.02,19,1.02,19.55,1.04,26.5,1.02,16.03
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Golubic V.,Swiatek I.,81,64,723,879,6,2,7,6,,,2,0,Completed,2.37,1.57,2.48,1.6,2.48,1.65,2.33,1.6
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Halep S.,Sasnovich A.,7,36,4063,1490,6,4,7,5,,,2,0,Completed,1.12,6,1.11,7.62,1.15,7.62,1.12,6.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Rybarikova M.,Sabalenka A.,139,11,423,3365,6,2,6,4,,,2,0,Completed,2.75,1.44,3.05,1.43,3.08,1.5,2.87,1.42
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Muchova K.,Krunic A.,68,113,838,550,7,5,6,2,,,2,0,Completed,1.5,2.62,1.54,2.62,1.56,2.66,1.51,2.57
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Buzarnescu M.,Pegula J.,53,72,1106,806,6,4,6,4,,,2,0,Completed,1.66,2.2,1.75,2.18,1.77,2.25,1.7,2.16
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Sevastova A.,Ahn K.,12,190,3296,307,6,3,6,4,,,2,0,Completed,1.14,5.5,1.19,5.32,1.2,5.95,1.16,5.39
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kudermetova V.,Bonaventure Y.,59,114,994,549,6,2,6,4,,,2,0,Completed,1.53,2.5,1.53,2.67,1.53,2.75,1.49,2.63
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Potapova A.,Teichmann J.,71,89,815,698,2,6,6,4,6,1,2,1,Completed,1.57,2.37,1.57,2.55,1.65,2.66,1.54,2.48
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Brengle M.,Vondrousova M.,85,14,704,2775,6,4,6,4,,,2,0,Completed,5.5,1.14,6.2,1.15,6.2,1.19,5.45,1.15
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Putintseva Y.,Osaka N.,39,2,1355,6377,7,6,6,2,,,2,0,Completed,2.75,1.44,2.84,1.48,3.05,1.48,2.84,1.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Collins D.,Diyas Z.,34,86,1518,700,6,3,7,5,,,2,0,Completed,3,1.4,2.96,1.45,3,1.49,2.81,1.43
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Wickmayer Y.,Peterson R.,148,63,394,879,6,4,6,3,,,2,0,Completed,2.37,1.57,2.41,1.63,2.41,1.66,2.31,1.62
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Flipkens K.,Jakupovic D.,103,143,593,413,6,1,6,3,,,2,0,Completed,1.2,4.5,1.24,4.54,1.25,4.85,1.22,4.34
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Tomljanovic A.,Kasatkina D.,49,30,1150,1745,6,3,6,1,,,2,0,Completed,1.8,2,1.85,2.05,1.87,2.2,1.8,2.01
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Gauff C.,Williams V.,313,44,148,1205,6,4,6,4,,,2,0,Completed,4.33,1.22,4.36,1.25,4.36,1.27,4.02,1.24
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Wozniacki C.,Sorribes Tormo S.,19,70,2418,830,5,4,,,,,0,0,Retired,1.08,8,1.1,8.29,1.15,9.3,1.1,7.13
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Azarenka V.,Cornet A.,40,51,1320,1140,6,4,6,4,,,2,0,Completed,1.36,3.2,1.38,3.28,1.4,3.35,1.36,3.17
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Hsieh S.W.,Ostapenko J.,29,37,1885,1486,6,2,6,2,,,2,0,Completed,1.72,2.1,1.91,1.98,1.91,2.21,1.77,2.05
33,London,Wimbledon,01/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Zhang S.,Garcia C.,50,23,1145,2105,6,4,6,0,,,2,0,Completed,5,1.16,5.67,1.17,5.7,1.19,5.18,1.16
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Siniakova K.,Alexandrova E.,38,45,1387,1193,2,6,6,1,6,1,2,1,Completed,2.3,1.61,2.55,1.57,2.63,1.64,2.4,1.58
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Dart H.,Mchale C.,182,108,325,576,4,6,6,4,6,4,2,1,Completed,1.66,2.2,1.78,2.14,1.8,2.3,1.72,2.14
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Van Uytvanck A.,Kuznetsova S.,58,104,1030,586,6,4,4,6,6,2,2,1,Completed,1.53,2.5,1.47,2.85,1.57,2.85,1.52,2.56
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Wang Q.,Lapko V.,15,106,2752,581,6,2,6,2,,,2,0,Completed,1.3,3.5,1.29,3.92,1.32,4.05,1.29,3.67
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Strycova B.,Tsurenko L.,54,33,1100,1616,6,3,6,2,,,2,0,Completed,1.44,2.75,1.43,3.01,1.47,3.01,1.42,2.87
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Mertens E.,Ferro F.,21,100,2195,614,6,2,6,0,,,2,0,Completed,1.12,6,1.14,6.52,1.16,6.6,1.13,5.91
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Niculescu M.,Petkovic A.,111,69,556,835,2,6,6,2,7,5,2,1,Completed,1.72,2.1,1.76,2.16,1.79,2.21,1.73,2.11
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Stephens S.,Bacsinszky T.,9,91,3682,684,6,2,6,4,,,2,0,Completed,1.33,3.4,1.36,3.41,1.37,3.5,1.34,3.3
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kanepi K.,Voegele S.,76,97,775,647,5,7,7,5,6,4,2,1,Completed,1.36,3.2,1.4,3.2,1.4,3.3,1.37,3.11
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Davis L.,Kozlova K.,95,66,665,840,6,3,6,2,,,2,0,Completed,1.5,2.62,1.54,2.64,1.56,2.69,1.51,2.58
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Barty A.,Zheng S.,1,43,6495,1210,6,4,6,2,,,2,0,Completed,1.03,15,1.04,15.71,1.05,17,1.03,12.89
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Linette M.,Kalinskaya A.,75,144,785,411,6,0,7,6,,,2,0,Completed,2.2,1.66,2.37,1.65,2.38,1.7,2.23,1.66
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kerber A.,Maria T.,5,65,4805,856,6,4,6,3,,,2,0,Completed,1.1,7,1.11,7.88,1.12,8.55,1.09,7.38
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Wang Yaf.,Martincova T.,57,138,1038,428,6,2,7,5,,,2,0,Completed,1.61,2.3,1.71,2.25,1.76,2.33,1.67,2.21
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Mladenovic K.,Diatchenko V.,48,83,1155,710,7,5,6,7,6,2,2,1,Completed,1.33,3.4,1.38,3.29,1.39,3.5,1.34,3.26
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Siegemund L.,Swan K.,82,205,718,274,6,2,6,4,,,2,0,Completed,2.1,1.72,2.18,1.75,2.18,1.82,2.07,1.76
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Bencic B.,Pavlyuchenkova A.,13,46,3073,1185,6,2,6,3,,,2,0,Completed,1.16,5,1.2,5.09,1.22,5.09,1.19,4.66
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Zidansek T.,Bouchard E.,61,79,950,752,6,3,5,7,8,6,2,1,Completed,1.5,2.62,1.54,2.62,1.56,2.69,1.51,2.57
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Konta J.,Bogdan A.,18,132,2430,468,7,5,6,2,,,2,0,Completed,1.12,6,1.15,6.38,1.16,6.6,1.13,6
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Anisimova A.,Cirstea S.,26,77,1949,769,6,3,6,3,,,2,0,Completed,1.22,4.33,1.26,4.28,1.27,4.5,1.24,4.11
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Haddad Maia B.,Muguruza G.,121,27,531,1925,6,4,6,4,,,2,0,Completed,3.4,1.33,3.28,1.38,3.4,1.39,3.22,1.35
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Jorovic I.,Kerkhove L.,99,201,626,285,7,6,6,4,,,2,0,Completed,2,1.8,1.96,1.93,2.02,1.95,1.95,1.85
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Suarez Navarro C.,Stosur S.,31,119,1732,533,6,2,7,5,,,2,0,Completed,2.2,1.66,2.27,1.7,2.36,1.71,2.23,1.66
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Parmentier P.,Sharapova M.,88,80,699,740,4,6,7,6,5,0,1,1,Retired,5,1.16,5.68,1.17,5.7,1.2,5.08,1.17
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Flink V.,Badosa P.,141,135,419,420,6,4,6,2,,,2,0,Completed,2.1,1.72,2.28,1.69,2.31,1.76,2.19,1.68
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Goerges J.,Ruse E.G.,17,176,2605,332,7,5,6,1,,,2,0,Completed,1.22,4.33,1.25,4.42,1.28,4.42,1.25,4
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Kvitova P.,Jabeur O.,6,56,4555,1050,6,4,6,2,,,2,0,Completed,1.3,3.5,1.33,3.62,1.33,3.7,1.3,3.5
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Juvan K.,Pliskova Kr.,133,94,464,666,6,4,2,6,6,4,2,1,Completed,2.1,1.72,2.13,1.79,2.25,1.85,2.07,1.76
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Williams S.,Gatto-Monticone G.,10,161,3411,368,6,2,7,5,,,2,0,Completed,1.04,13,1.04,14.11,1.05,16.5,1.03,12.24
33,London,Wimbledon,02/07/2019,Grand Slam,Outdoor,Grass,1st Round,3,Townsend T.,Rodionova Ar.,123,211,530,266,6,2,6,3,,,2,0,Completed,1.72,2.1,1.75,2.19,1.82,2.2,1.74,2.1
